"X1","X2","truth"
9.0650130707121,3.66930872504633,4
-0.25051317201256,-0.981008579513411,3
0.2121641108106,-0.86395437846978,3
6.75225379736775,2.90204098063108,1
-0.216189338247035,-0.91435825326169,3
8.19972905106581,2.68849096777606,4
4.13000339052968,2.3611751900177,2
5.62804613815539,2.22994981671497,1
1.65379924384402,0.0692911607693847,3
4.0945379792374,2.19817325383855,2
9.23645067493642,3.3450913327757,4
3.65340442580067,2.26930598710256,2
7.77217501889448,3.84015868150466,1
1.33727418671682,-0.253533751783176,3
2.90786717645618,0.891950872516334,3
5.88178485652107,3.38314937297735,2
-0.293289220344332,-0.707108888208577,3
2.7433506232047,1.61636907052003,2
6.88043828918575,3.12101445746218,1
3.11301391946466,0.830723990702393,3
3.31898683509947,0.965723899445705,3
0.784590194902264,-0.366798376260004,3
6.97989058999968,2.12340587858574,4
7.75471317827934,3.42079939593003,1
7.53769807011513,3.24966618855272,1
6.70656427742192,1.96281006608837,4
8.88809504324031,3.31241446337324,4
5.05522416484345,2.1602900762171,1
8.32540983323026,3.84696315192919,1
5.77863712476704,3.40182863347918,2
6.32077623572039,2.94615690455577,1
7.75335726965709,3.24253499361985,1
1.57338122378258,-0.0999367479582387,3
8.26096741797906,3.49079503807849,1
3.76889712995194,1.05895986727529,3
8.78728419282267,3.04970834582146,4
4.09962083480106,2.29117767258642,2
7.94697681964738,3.65039925792055,1
3.99546618730807,2.16211416631921,2
6.3407513136389,2.7285708708098,1
1.504196121179,0.0449034755179443,3
9.23594233926449,3.44760377088583,4
4.2887298006951,2.46592584884538,2
7.29930330501007,2.87325136878552,1
3.408124299527,2.07558549988017,2
8.42850181377094,2.88368017054829,4
2.37947356777052,1.55288465710218,2
3.14542780778298,1.79160963028431,2
2.27817144855827,1.43109428625405,2
7.84025358041613,2.61157228698303,4
9.07391742407304,3.1572214638716,4
9.84802414835683,3.74985152007183,4
0.583439594352426,-0.229926122077967,3
9.94338457784731,3.71172082922454,4
8.9329499276114,3.21872441704796,4
-0.724661163759516,-1.10606317229094,3
5.66861943185999,2.30444791161859,1
3.50932778313976,2.02324835533363,2
2.31755381016533,1.06747463034358,2
0.416128078763683,-0.149450986774765,3
3.95750519738793,2.15967097704028,2
4.48214932613728,2.65519494756458,2
4.68985569218046,2.68758537914353,2
